rank,name,nota
582,Automobile,7.33
583,Evolution,7.07
584,Dice Throne: Season One,7.54
585,Struggle of Empires,7.52
586,Star Trek: Ascendancy,7.83
587,MicroMacro: Crime City – Full House,7.73
588,Star Wars: Destiny,7.46
589,Triumph & Tragedy: European Balance of Power 1936-1945,8.14
590,Hammer of the Scots,7.53
591,Silver & Gold,7.23
592,Conan,7.66
593,Carson City,7.22
594,Francis Drake,7.38
595,Coup,6.99
596,Photosynthesis,7.01
597,A Game of Thrones,7.18
598,Imperium: Legends,7.87
599,The Great Wall,7.90
600,Cooper Island,7.61
601,The Battle of Five Armies,7.88
602,Gears of War: The Board Game,7.47
603,Blood Bowl (2016 Edition),7.98
604,Revive,8.23
605,QE,7.41
606,Crusaders: Thy Will Be Done,7.50
607,Unlock!: Heroic Adventures,7.65
608,Quantum,7.25
609,Etherfields,8.00
610,Zombicide,7.11
611,A Game of Thrones: The Card Game (Second Edition),7.51
612,Thebes,7.13
613,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,7.75
614,Mindbug: First Contact,7.85
615,Unfathomable,7.60
616,Cuba Libre,7.69
617,Libertalia: Winds of Galecrest,7.51
618,Coloretto,6.98
619,Mare Nostrum: Empires,7.53
620,Betrayal at House on the Hill,7.04
621,Zombicide: Green Horde,7.72
622,Formula D,7.00
623,6 nimmt!,6.95
624,HeroQuest,7.18
625,Snowdonia,7.34
626,Pax Renaissance,8.01
627,Time's Up!,7.29
628,Medici,7.16
629,Taluva,7.15
630,Zombicide: 2nd Edition,8.05
631,KeyForge: Call of the Archons,7.14
632,One Night Ultimate Werewolf: Daybreak,7.33
633,The LOOP,7.79
634,Whitehall Mystery,7.56
635,Magic Maze,6.98
636,The Republic of Rome,7.53
637,Trains,7.14
638,Caper: Europe,7.81
639,The Downfall of Pompeii,7.15
640,Fort,7.16
641,Shakespeare,7.43
642,Splendor: Marvel,7.62
643,Cacao,7.08
644,Unmatched: Little Red Riding Hood vs. Beowulf,8.23
645,Shards of Infinity,7.49
646,Kingdom Builder,6.95
647,Lord of the Rings: The Confrontation,7.20
648,Mr. Jack,6.98
649,Belfort,7.22
650,Summoner Wars,7.23
651,Between Two Castles of Mad King Ludwig,7.25
652,Elder Sign,6.97
653,Wayfarers of the South Tigris,7.92
654,Earth Reborn,7.62
655,Disney Villainous: Wicked to the Core,7.57
656,Cat in the Box: Deluxe Edition,7.67
657,Bus,7.58
658,Cuba,7.13
659,Luna,7.30
660,Chronicles of Crime: 1400,7.80
661,Dixit: Journey,7.39
662,John Company: Second Edition,8.40
663,Escape: The Curse of the Temple,6.97
664,A Fake Artist Goes to New York,7.15
665,Torres,7.09
666,Exit: The Game – The Pharaoh's Tomb,7.18
667,Telestrations: 12 Player Party Pack,7.74
668,Civilization: A New Dawn,7.27
669,Aeon Trespass: Odyssey,9.34
670,Myrmes,7.26
671,Smash Up: Awesome Level 9000,7.22
672,The Oracle of Delphi,7.29
673,Cribbage,7.08
674,Woodcraft,7.83
675,Shadows of Brimstone: Swamps of Death,8.03
676,Pax Renaissance: 2nd Edition,8.60
677,Yamataï,7.20
678,Churchill,7.67
679,Tokaido,6.94
680,Treasure Island,7.25
681,Dinosaur Island: Rawr 'n Write,7.77
682,Prêt-à-Porter,7.35
683,Feudum,7.62
684,Mexica,7.24
685,Disney Villainous: Evil Comes Prepared,7.58
686,Fury of Dracula (Second Edition),7.10
687,Ascension: Deckbuilding Game,7.03
688,Defenders of the Realm,7.28
689,Wir sind das Volk!,7.81
690,AuZtralia,7.37
691,Yellow & Yangtze,7.85
692,Merv: The Heart of the Silk Road,7.56
693,Arkwright,7.81
694,ZhanGuo,7.56
695,Tash-Kalar: Arena of Legends,7.16
696,Trails of Tucana,7.41
697,Leaving Earth,7.74
698,Regicide,7.49
699,D-Day at Omaha Beach,8.28
700,Galaxy Trucker (Second Edition),7.56
701,Specter Ops,7.19
702,Love Letter: Batman,7.26
703,Century: A New World,7.35
704,Thunderstone Advance: Towers of Ruin,7.34
705,Onirim (Second Edition),7.05
706,The Magnificent,7.55
707,Creature Comforts,7.56
708,Carcassonne: The Castle,7.10
709,My Little Scythe,7.27
710,Steampunk Rally,7.17
711,Warhammer Quest: The Adventure Card Game,7.32
712,Ashes Reborn: Rise of the Phoenixborn,7.28
713,Trismegistus: The Ultimate Formula,7.61
714,Dragon Castle,7.13
715,Space Hulk: Death Angel – The Card Game,7.00
716,BANG! The Dice Game,6.91
717,The Networks,7.17
718,Detective: City of Angels,7.91
719,Oh My Goods!,6.99
720,City of the Big Shoulders,7.79
721,K2,7.02
722,Vegas Showdown,7.16
723,Advanced Squad Leader: Starter Kit #1,7.85
724,Whistle Mountain,7.64
725,Century: Eastern Wonders,7.14
726,Wallenstein,7.46
727,Project: ELITE,8.01
728,The Estates,7.43
729,Golem,7.64
730,Sub Terra,7.39
731,Villagers,7.19
732,Yspahan,7.07
733,Disney Villainous,6.99
